iter	Passed	Remaining
235	578	1872
236	579	1865
237	581	1860
238	582	1853
239	583	1846
240	584	1839
241	585	1834
242	587	1828
243	588	1821
244	588	1814
245	590	1810
246	592	1804
247	593	1798
248	593	1791
249	595	1785
250	596	1781
251	598	1775
252	599	1768
253	600	1764
254	602	1759
255	603	1753
256	604	1747
257	605	1742
258	607	1737
259	608	1732
260	609	1726
261	611	1722
262	612	1717
263	614	1712
264	615	1706
265	616	1700
266	617	1695
267	618	1690
268	620	1685
269	621	1679
270	622	1674
271	623	1669
272	625	1664
273	626	1659
274	627	1653
275	628	1648
276	629	1644
277	631	1639
278	632	1634
279	634	1631
280	635	1627
281	637	1622
282	638	1617
283	639	1612
284	641	1608
285	642	1603
286	643	1599
287	646	1598
288	648	1594
289	650	1592
290	652	1590
291	654	1585
292	657	1587
293	659	1584
294	664	1587
295	667	1588
296	669	1584
297	673	1585
298	675	1583
299	677	1579
300	680	1581
301	682	1577
302	687	1582
303	689	1579
304	694	1582
305	699	1586
306	702	1584
307	703	1581
308	707	1581
309	709	1579
310	711	1575
311	714	1576
312	717	1574
313	721	1575
314	725	1576
315	726	1572
316	731	1575
317	733	1573
318	736	1572
319	738	1569
320	744	1574
321	748	1576
322	749	1571
323	752	1570
324	755	1570
325	759	1571
326	764	1573
327	767	1572
328	770	1571
329	771	1567
330	773	1562
331	775	1560
332	777	1556
333	778	1552
334	781	1550
335	783	1548
336	784	1543
337	786	1539
338	787	1535
339	789	1533
340	792	1530
341	795	1530
342	797	1527
343	800	1526
344	801	1522
345	804	1520
346	805	1516
347	807	1513
348	809	1509
349	810	1504
350	811	1501
351	813	1496
352	817	1497
353	819	1494
354	822	1494
355	823	1490
356	826	1487
357	827	1483
358	828	1479
359	829	1475
360	831	1471
361	832	1467
362	836	1467
363	837	1463
364	841	1464
365	843	1460
366	846	1460
367	847	1456
368	849	1451
369	853	1452
370	854	1448
371	855	1443
372	857	1441
373	859	1438
374	861	1436
375	863	1433
376	865	1429
377	867	1428
378	869	1424
379	870	1420
380	872	1418
381	874	1413
382	875	1410
383	877	1406
384	878	1403
385	879	1399
386	884	1400
387	886	1398
388	888	1395
389	889	1391
390	890	1387
391	893	1385
392	894	1381
393	895	1377
394	897	1374
395	899	1371
396	900	1367
397	901	1363
398	904	1362
399	905	1358
400	906	1354
401	910	1353
402	911	1350
403	912	1346
404	914	1343
405	915	1339
406	916	1335
407	918	1332
408	920	1329
409	920	1325
410	922	1322
411	924	1319
412	926	1316
413	929	1315
414	930	1312
415	932	1308
416	934	1306
417	935	1302
418	936	1298
419	939	1297
420	940	1293
421	941	1289
422	943	1287
423	944	1283
424	945	1279
425	946	1275
426	949	1274
427	951	1271
428	952	1268
429	955	1266
430	956	1263
431	957	1259
432	959	1257
433	961	1253
434	962	1249
435	963	1246
436	965	1243
437	966	1240
438	967	1236
439	968	1233
440	971	1231
441	972	1227
442	976	1227
443	977	1223
444	979	1221
445	980	1217
446	981	1214
447	983	1212
448	985	1209
449	986	1205
450	987	1202
451	990	1200
452	991	1197
453	992	1193
454	1000	1198
455	1004	1198
456	1014	1205
457	1015	1202
458	1019	1201
459	1022	1200
460	1024	1197
461	1025	1194
462	1027	1191
463	1028	1188
464	1029	1184
465	1030	1181
466	1033	1179
467	1036	1178
468	1040	1178
469	1041	1174
470	1043	1171
471	1044	1168
472	1045	1164
473	1046	1161
474	1048	1158
475	1049	1155
476	1050	1151
477	1051	1148
478	1052	1144
479	1053	1141
480	1055	1138
481	1056	1135
482	1058	1132
483	1059	1129
484	1060	1126
485	1061	1123
486	1063	1120
487	1066	1118
488	1067	1115
489	1068	1111
490	1069	1108
491	1071	1105
492	1072	1102
493	1073	1099
494	1075	1097
495	1076	1093
496	1077	1090
497	1079	1088
498	1081	1085
499	1082	1082
500	1083	1079
501	1085	1076
502	1086	1073
503	1087	1070
504	1088	1067
505	1089	1064
506	1091	1061
507	1092	1058
508	1094	1055
509	1095	1052
510	1096	1049
511	1098	1047
512	1099	1043
513	1100	1040
514	1102	1038
515	1103	1035
516	1104	1032
517	1105	1029
518	1107	1025
519	1108	1023
520	1110	1020
521	1111	1017
522	1112	1015
523	1114	1012
524	1115	1009
525	1116	1005
526	1117	1002
527	1118	1000
528	1119	997
529	1121	994
530	1122	991
531	1124	989
532	1126	986
533	1127	983
534	1128	980
535	1129	978
536	1131	975
537	1132	972
538	1133	969
539	1135	967
540	1137	964
541	1138	962
542	1139	959
543	1141	957
544	1142	954
545	1145	952
546	1146	949
547	1147	946
548	1148	943
549	1150	941
550	1151	938
551	1152	935
552	1154	933
553	1156	930
554	1157	928
555	1158	925
556	1160	923
557	1162	920
558	1163	917
559	1165	915
560	1166	913
561	1168	910
562	1169	907
563	1171	905
564	1172	902
565	1173	899
566	1174	897
567	1176	894
568	1177	892
569	1178	889
570	1180	886
571	1182	884
572	1183	881
573	1184	879
574	1185	876
575	1187	873
576	1188	871
577	1189	868
578	1191	866
579	1193	864
580	1194	861
581	1196	858
582	1198	857
583	1200	855
584	1201	852
585	1204	850
586	1205	848
587	1209	847
588	1210	844
589	1214	844
590	1216	841
591	1218	839
592	1219	837
593	1221	835
594	1223	832
595	1225	830
596	1227	828
597	1231	827
598	1232	825
599	1233	822
600	1235	820
601	1236	817
602	1242	817
603	1243	815
604	1246	814
605	1248	811
606	1250	809
607	1252	807
608	1255	806
609	1257	803
610	1259	801
611	1262	800
612	1264	798
613	1265	795
614	1268	793
615	1269	791
616	1271	789
617	1273	787
618	1274	784
619	1279	784
620	1281	781
621	1285	781
622	1287	779
623	1289	777
624	1290	774
625	1294	773
626	1296	771
627	1300	770
628	1301	767
629	1306	767
630	1307	764
631	1308	762
632	1312	760
633	1315	759
634	1316	756
635	1318	754
636	1319	752
637	1320	749
638	1322	747
639	1324	745
640	1325	742
641	1328	740
642	1330	738
643	1331	735
644	1342	739
645	1344	736
646	1345	734
647	1346	731
648	1348	729
649	1349	726
650	1350	723
651	1352	721
652	1353	719
653	1354	716
654	1356	714
655	1358	712
656	1359	709
657	1360	707
658	1363	705
659	1364	703
660	1366	700
661	1368	698
662	1369	696
663	1371	693
664	1372	691
665	1374	689
666	1375	686
667	1376	684
668	1380	682
669	1381	680
670	1382	678
671	1385	676
672	1387	674
673	1388	671
674	1390	669
675	1391	667
676	1393	665
677	1395	662
678	1397	660
679	1399	658
680	1402	656
681	1403	654
682	1404	651
683	1407	650
684	1408	647
685	1409	645
686	1411	643
687	1412	640
688	1413	638
689	1416	636
690	1417	633
691	1418	631
692	1419	628
693	1422	627
694	1423	624
695	1424	622
696	1427	620
697	1428	618
698	1429	615
699	1431	613
700	1433	611
701	1435	609
702	1438	607
703	1439	605
704	1440	602
705	1442	600
706	1444	598
707	1445	596
708	1446	593
709	1448	591
710	1450	589
711	1451	587
712	1453	584
713	1455	583
714	1456	580
715	1458	578
716	1459	576
717	1461	573
718	1462	571
719	1464	569
720	1466	567
721	1467	564
722	1468	562
723	1470	560
724	1471	558
725	1472	555
726	1474	553
727	1475	551
728	1476	548
729	1478	546
730	1479	544
731	1481	542
732	1482	539
733	1484	537
734	1485	535
735	1487	533
736	1489	531
737	1491	529
738	1492	527
739	1493	524
740	1495	522
741	1497	520
742	1498	518
743	1500	516
744	1502	514
745	1503	511
746	1504	509
747	1505	507
748	1507	505
749	1508	502
750	1510	500
751	1512	498
752	1514	496
753	1515	494
754	1516	492
755	1518	490
756	1519	487
757	1521	485
758	1523	483
759	1524	481
760	1525	479
761	1527	477
762	1528	474
763	1529	472
764	1531	470
765	1532	468
766	1534	466
767	1535	463
768	1536	461
769	1539	459
770	1540	457
771	1541	455
772	1542	453
773	1545	451
774	1546	448
775	1547	446
776	1549	444
777	1550	442
778	1551	440
779	1552	437
780	1554	435
781	1555	433
782	1557	431
783	1559	429
784	1560	427
785	1562	425
786	1563	423
787	1564	420
788	1565	418
789	1567	416
790	1568	414
791	1569	412
792	1571	410
793	1573	408
794	1574	405
795	1575	403
796	1577	401
797	1578	399
798	1580	397
799	1581	395
800	1583	393
801	1584	391
802	1585	389
803	1587	387
804	1588	384
805	1590	382
806	1592	380
807	1593	378
808	1594	376
809	1595	374
810	1597	372
811	1598	370
812	1599	367
813	1600	365
814	1602	363
815	1603	361
816	1605	359
817	1605	357
818	1607	355
819	1608	353
820	1610	351
821	1611	349
822	1613	347
823	1615	345
824	1617	343
825	1619	341
826	1620	339
827	1622	337
828	1624	334
829	1626	333
830	1627	331
831	1629	328
832	1630	326
833	1632	324
834	1634	322
835	1636	320
836	1637	318
837	1638	316
838	1640	314
839	1642	312
840	1644	310
841	1645	308
842	1647	306
843	1649	304
844	1650	302
845	1651	300
846	1653	298
847	1655	296
848	1656	294
849	1659	292
850	1660	290
851	1662	288
852	1665	286
853	1667	285
854	1668	282
855	1671	281
856	1673	279
857	1677	277
858	1679	275
859	1682	273
860	1683	271
861	1685	269
862	1687	267
863	1689	265
864	1690	263
865	1692	261
866	1694	259
867	1695	257
868	1696	255
869	1698	253
870	1699	251
871	1701	249
872	1702	247
873	1703	245
874	1705	243
875	1706	241
876	1707	239
877	1709	237
878	1710	235
879	1710	233
880	1712	231
881	1713	229
882	1714	227
883	1716	225
884	1717	223
885	1719	221
886	1720	219
887	1721	217
888	1723	215
889	1724	213
890	1725	211
891	1726	209
892	1727	207
893	1728	204
894	1729	202
895	1731	200
896	1732	198
897	1733	196
898	1734	194
899	1737	193
900	1738	191
901	1739	189
902	1741	187
903	1743	185
904	1744	183
905	1745	181
906	1746	179
907	1748	177
908	1749	175
909	1750	173
910	1752	171
911	1753	169
912	1754	167
913	1755	165
914	1757	163
915	1758	161
916	1759	159
917	1760	157
918	1762	155
919	1764	153
920	1765	151
921	1767	149
922	1768	147
923	1770	145
924	1771	143
925	1773	141
926	1774	139
927	1775	137
928	1778	135
929	1780	133
930	1781	132
931	1784	130
932	1786	128
933	1787	126
934	1790	124
935	1791	122
936	1792	120
937	1795	118
938	1797	116
939	1801	114
940	1802	113
941	1807	111
942	1809	109
943	1812	107
944	1814	105
945	1815	103
946	1817	101
947	1818	99
948	1821	97
949	1823	95
950	1824	94
951	1826	92
952	1828	90
953	1829	88
954	1832	86
955	1834	84
956	1835	82
957	1837	80
958	1839	78
959	1843	76
960	1844	74
961	1846	72
962	1848	71
963	1850	69
964	1853	67
965	1855	65
966	1856	63
967	1858	61
968	1859	59
969	1860	57
970	1863	55
971	1865	53
972	1866	51
973	1868	49
974	1869	47
975	1871	46
976	1872	44
977	1874	42
978	1875	40
979	1876	38
980	1879	36
981	1880	34
982	1881	32
983	1884	30
984	1885	28
985	1886	26
986	1887	24
987	1889	22
988	1890	21
989	1891	19
990	1892	17
991	1894	15
992	1895	13
993	1896	11
994	1898	9
995	1899	7
996	1900	5
997	1901	3
998	1903	1
999	1905	0
