iter	Passed	Remaining
341	751	1446
342	753	1443
343	754	1439
344	756	1436
345	757	1432
346	760	1431
347	761	1427
348	763	1423
349	764	1419
350	766	1416
351	767	1412
352	769	1409
353	770	1406
354	773	1406
355	775	1402
356	778	1402
357	780	1399
358	781	1395
359	785	1397
360	789	1398
361	791	1394
362	792	1391
363	793	1387
364	796	1385
365	798	1382
366	799	1379
367	802	1378
368	804	1376
369	806	1373
370	809	1372
371	810	1368
372	811	1364
373	815	1364
374	816	1361
375	817	1357
376	820	1356
377	822	1352
378	823	1349
379	824	1345
380	828	1346
381	830	1342
382	831	1339
383	833	1337
384	835	1334
385	836	1330
386	840	1330
387	841	1327
388	845	1328
389	847	1325
390	848	1321
391	851	1320
392	853	1317
393	854	1314
394	857	1313
395	859	1310
396	860	1307
397	865	1308
398	866	1304
399	870	1306
400	872	1302
401	873	1299
402	876	1299
403	878	1296
404	883	1297
405	885	1295
406	889	1296
407	890	1292
408	891	1288
409	894	1287
410	895	1283
411	896	1279
412	898	1276
413	900	1274
414	901	1271
415	903	1267
416	904	1264
417	907	1264
418	909	1261
419	911	1258
420	912	1254
421	913	1251
422	916	1250
423	917	1246
424	918	1243
425	920	1239
426	921	1236
427	923	1234
428	924	1230
429	925	1227
430	927	1224
431	929	1221
432	930	1218
433	931	1214
434	934	1214
435	936	1211
436	937	1207
437	938	1204
438	940	1201
439	941	1198
440	942	1194
441	943	1191
442	944	1187
443	947	1185
444	948	1183
445	950	1180
446	952	1178
447	953	1175
448	955	1171
449	955	1168
450	958	1166
451	959	1163
452	960	1160
453	961	1156
454	963	1154
